Series ID,Region Name,Region Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
SCABBE1URN,"Abbeville County, SC",45001,3.8,6.6,7.7,9.1,8.2,7.7,8.8,8.1,8.1,14.2,13.6,12.5,10.6,9.5,7.7,6.9,5.5,4.6,4.2
LAACAD0URN,"Acadia Parish, LA",22001,5.8,6.0,6.3,6.8,5.8,6.1,3.6,3.8,4.2,6.5,7.3,6.7,6.0,6.0,5.8,6.9,7.4,5.9,5.4
VAACCO1URN,"Accomack County, VA",51001,3.0,3.4,4.2,4.4,4.7,4.7,4.3,4.1,5.0,6.5,7.9,8.4,7.9,7.2,6.7,5.5,5.0,4.9,4.1
IDADAC1URN,"Ada County, ID",16001,3.4,3.9,4.7,4.9,4.1,3.3,2.7,2.7,4.9,8.9,8.3,7.3,6.2,5.2,4.2,3.7,3.3,2.8,2.4
OKADAI1URN,"Adair County, OK",40001,3.5,4.1,4.8,7.8,6.2,4.8,4.4,4.7,4.9,8.0,10.5,9.2,9.1,9.8,8.0,6.1,5.9,5.0,4.4
IAADAI1URN,"Adair County, IA",19001,2.7,2.8,3.7,4.1,4.2,4.0,3.2,3.5,4.1,5.8,5.5,4.9,4.4,4.2,4.0,3.3,3.0,2.8,2.4
MOADURN,"Adair County, MO",29001,3.1,4.3,4.4,4.9,5.0,4.3,4.3,4.8,5.3,6.6,8.7,8.6,7.0,6.9,6.5,5.6,5.7,4.4,3.7
KYADURN,"Adair County, KY",21001,5.0,4.8,5.4,5.9,5.3,5.6,5.7,5.8,6.8,10.8,12.4,11.8,9.5,10.1,8.6,7.4,6.9,6.3,5.3
WAADAM1URN,"Adams County, WA",53001,8.6,9.4,9.4,9.1,8.2,7.2,6.9,6.7,6.7,9.1,10.6,10.2,9.2,8.5,7.3,7.1,6.5,5.9,5.7
INADAM1URN,"Adams County, IN",18001,2.8,4.9,4.6,4.3,4.1,4.8,4.4,4.3,7.7,14.6,10.1,7.8,7.0,6.1,4.6,3.8,3.6,2.6,2.6
NDADAM1URN,"Adams County, ND",38001,2.7,2.7,3.5,3.0,2.6,3.3,2.9,2.5,2.4,3.2,2.9,2.8,2.9,2.5,2.7,2.9,2.6,2.4,2.0
OHADAM1URN,"Adams County, OH",39001,7.5,7.4,9.8,10.0,9.8,8.5,7.6,7.7,9.3,14.7,15.9,14.3,12.6,12.7,9.2,7.9,7.5,7.1,7.0
ILADURN,"Adams County, IL",17001,3.5,4.2,4.5,5.3,4.5,3.7,3.4,3.9,4.8,7.3,7.7,6.9,6.5,6.8,5.3,5.0,4.7,3.8,3.6
COADAM1URN,"Adams County, CO",08001,2.8,4.0,6.1,7.0,6.4,5.7,4.8,4.2,5.4,8.5,10.0,9.9,9.4,8.2,5.7,4.3,3.6,3.1,3.3
IDADAM3URN,"Adams County, ID",16003,10.3,11.5,12.3,12.7,12.2,8.3,6.8,5.8,10.7,16.4,18.5,17.9,15.0,13.7,10.1,7.8,7.0,5.7,5.2
IAADAM3URN,"Adams County, IA",19003,3.8,4.3,4.7,5.1,5.0,5.2,4.6,4.2,4.3,6.1,4.8,4.4,4.0,3.7,3.4,2.8,2.6,2.4,2.0
WIADAM1URN,"Adams County, WI",55001,4.6,5.2,5.9,5.9,6.9,7.0,6.7,6.6,7.0,10.6,12.4,11.8,10.9,10.9,8.8,7.3,6.0,5.1,4.6
PAADAM0URN,"Adams County, PA",42001,3.1,3.9,4.2,4.2,4.0,3.6,3.4,3.3,4.3,7.4,7.7,6.7,6.4,5.9,4.6,4.2,4.0,3.7,3.2
NEADAM1URN,"Adams County, NE",31001,2.6,3.1,3.6,4.1,3.8,3.4,2.9,2.7,3.1,5.1,4.7,4.3,3.8,3.6,3.4,3.1,3.1,3.1,2.9
MSADAM1URN,"Adams County, MS",28001,6.2,6.6,7.3,8.5,7.5,9.1,6.8,6.4,6.5,9.1,11.5,10.8,9.9,9.3,8.3,8.0,8.3,7.3,6.1
VTADDI1URN,"Addison County, VT",50001,2.6,3.1,3.6,3.9,3.5,3.3,3.3,3.8,4.4,6.1,5.8,5.0,4.5,4.1,3.7,3.5,3.0,2.8,2.6
SCAIKE0URN,"Aiken County, SC",45003,3.9,5.0,4.9,5.4,5.7,5.9,6.4,5.4,5.9,9.2,9.3,9.3,8.6,7.6,6.5,5.9,5.0,4.1,3.5
MNAITK1URN,"Aitkin County, MN",27001,6.2,6.4,6.5,7.0,7.0,6.0,5.9,6.8,8.1,10.3,10.4,9.6,8.1,7.5,6.7,6.5,7.0,6.2,5.7
FLALAC1URN,"Alachua County, FL",12001,3.0,3.6,4.1,3.7,3.6,2.9,2.7,3.0,4.4,7.1,8.0,7.6,6.7,5.7,5.2,4.6,4.3,3.7,3.2
NCALAM1URN,"Alamance County, NC",37001,3.1,5.5,7.2,7.1,6.2,6.0,5.5,5.1,6.4,11.7,10.9,9.7,8.5,7.3,5.7,5.4,4.8,4.3,3.7
CAALAM1URN,"Alameda County, CA",06001,3.6,4.8,6.7,6.8,5.9,5.1,4.4,4.7,6.2,10.3,10.9,10.1,8.7,7.2,5.8,4.7,4.3,3.6,3.0
COALAM3URN,"Alamosa County, CO",08003,3.6,4.2,4.9,5.7,5.8,5.5,4.7,4.0,5.2,6.3,9.0,9.7,10.5,9.7,7.2,5.2,4.0,3.4,4.0
WYALBA1URN,"Albany County, WY",56001,3.4,3.4,3.3,3.3,2.9,2.8,2.6,2.4,2.5,4.2,4.5,4.2,4.3,3.8,3.5,3.2,3.2,2.9,3.2
NYALBA1URN,"Albany County, NY",36001,3.4,3.3,3.9,4.2,4.2,3.9,3.8,3.9,4.9,6.8,7.0,6.9,7.1,6.1,4.9,4.3,4.0,4.2,3.8
VAALBE7URN,"Albemarle County, VA",51003,1.7,2.2,3.1,3.4,3.2,2.9,2.5,2.2,3.0,5.1,6.0,5.6,5.3,4.9,4.5,3.9,3.6,3.3,2.6
MIALCO1URN,"Alcona County, MI",26001,7.0,10.4,10.8,12.1,10.9,10.5,10.9,10.3,11.4,18.8,17.9,14.4,12.7,13.4,10.6,8.0,7.7,7.4,6.8
MSALURN,"Alcorn County, MS",28003,4.9,5.6,7.9,7.4,6.7,7.0,7.2,6.8,7.6,11.9,11.5,10.9,8.7,7.8,6.6,5.6,5.2,4.4,4.1
AKALEU3URN,"Aleutians East Borough, AK",02013,9.6,9.0,9.8,10.7,9.5,10.2,9.3,8.8,9.3,10.7,6.2,7.0,7.4,6.4,4.8,3.6,3.0,2.9,3.2
AKALEU0URN,"Aleutians West CA, AK",02016,5.5,6.5,6.9,6.9,7.1,6.1,6.2,5.9,6.4,7.7,5.5,6.4,7.5,7.4,5.1,4.0,3.5,3.8,3.6
ILALURN,"Alexander County, IL",17003,7.2,7.8,9.1,10.6,9.2,8.7,8.0,8.2,9.5,12.2,11.8,12.9,11.9,12.7,10.6,9.2,9.2,8.0,7.2
NCALEX3URN,"Alexander County, NC",37003,2.7,5.8,7.0,7.1,6.0,5.4,4.8,5.2,7.0,13.9,13.0,11.3,9.6,7.8,5.6,4.9,4.2,3.7,3.2
VAALEX5URN,"Alexandria city, VA",51510,1.8,2.7,3.5,3.0,2.7,2.6,2.3,2.2,2.8,4.8,4.9,4.5,4.1,4.1,3.9,3.3,2.9,2.9,2.3
OKALFA3URN,"Alfalfa County, OK",40003,3.0,3.0,3.4,3.9,3.8,4.4,4.2,4.4,3.1,4.8,4.9,4.1,2.9,3.3,2.5,3.0,3.3,2.7,2.4
MIALGE3URN,"Alger County, MI",26003,5.5,6.4,7.2,7.9,7.9,7.7,8.2,8.5,9.4,13.7,14.2,12.7,12.0,11.7,10.4,8.6,8.3,8.5,8.0
IAALLA5URN,"Allamakee County, IA",19005,3.4,4.0,4.6,5.6,5.9,5.2,4.6,4.8,6.5,10.2,7.8,7.2,6.4,6.3,5.7,4.9,5.0,4.0,3.1
MIALLE0URN,"Allegan County, MI",26005,2.9,4.4,5.7,6.6,6.5,6.3,6.3,6.4,7.3,12.9,11.4,8.7,7.3,6.7,5.4,4.1,3.9,3.9,3.5
NYALLE2URN,"Allegany County, NY",36003,4.9,4.7,5.4,6.5,6.4,5.8,5.2,5.5,6.4,8.7,9.2,8.9,8.4,7.5,6.2,6.5,6.3,6.7,5.9
MDALLE0URN,"Allegany County, MD",24001,6.0,6.3,6.2,6.0,6.1,6.1,5.6,5.1,5.7,8.5,9.3,9.1,8.9,8.5,7.6,7.0,6.2,5.8,5.7
VAALLE5URN,"Alleghany County, VA",51005,3.1,4.2,5.3,4.6,4.8,4.8,4.8,4.3,5.4,9.1,8.6,7.9,7.1,6.6,5.9,5.1,5.1,4.9,4.0
NCALLE5URN,"Alleghany County, NC",37005,5.9,8.5,9.1,9.2,6.3,5.6,5.0,5.2,7.4,11.9,12.0,12.3,10.5,8.8,6.9,6.1,5.5,5.2,4.5
PAALLE3URN,"Allegheny County, PA",42003,4.0,4.4,5.4,5.5,5.3,5.0,4.5,4.1,4.8,6.8,7.6,7.1,6.9,6.5,5.4,5.0,5.2,4.8,4.1
OHALLE0URN,"Allen County, OH",39003,4.6,5.0,6.5,6.9,6.8,6.3,6.1,6.3,7.4,11.3,10.7,9.5,7.7,7.8,5.8,4.9,5.0,5.0,4.4
INALLE3URN,"Allen County, IN",18003,2.8,4.1,5.0,5.3,5.3,5.3,5.0,4.8,6.0,10.5,10.7,9.3,8.4,7.5,5.7,4.6,4.3,3.3,3.2
KYALURN,"Allen County, KY",21003,4.4,6.0,6.3,6.8,6.5,6.5,6.5,5.8,7.0,14.4,11.7,9.8,8.0,7.4,5.9,4.9,4.4,4.1,3.6
LAALLE3URN,"Allen Parish, LA",22003,6.8,7.5,8.1,8.7,8.4,9.6,5.2,5.7,6.2,9.4,9.8,9.1,8.0,7.5,7.2,7.0,6.4,5.3,5.5
KSALLE1URN,"Allen County, KS",20001,4.5,6.0,5.3,4.9,5.7,5.4,4.2,4.1,4.6,7.8,8.3,8.0,7.2,6.1,5.1,5.1,5.6,4.9,4.0
SCALLE5URN,"Allendale County, SC",45005,5.3,6.1,7.1,8.8,9.7,10.6,10.2,10.3,16.5,20.6,19.1,18.4,16.9,14.0,12.2,11.3,8.5,6.9,6.1
MIALPE7URN,"Alpena County, MI",26007,5.7,8.0,8.6,9.2,8.4,7.6,7.9,8.4,8.8,13.8,13.1,10.8,9.7,9.7,8.0,6.2,5.9,5.9,5.3
CAALPI3URN,"Alpine County, CA",06003,6.8,7.8,8.0,8.8,8.4,8.4,6.7,8.2,10.9,14.7,13.2,13.1,11.4,9.8,8.2,7.4,6.6,6.3,4.7
CAAMAD5URN,"Amador County, CA",06005,5.2,5.1,5.7,6.1,5.8,5.6,5.3,5.8,7.7,11.4,14.1,13.6,12.3,10.3,8.3,6.6,6.0,4.9,3.9
VAAMEL7URN,"Amelia County, VA",51007,2.0,2.6,3.9,3.9,3.6,3.5,3.0,2.8,4.5,7.8,8.5,7.5,6.5,5.9,5.3,4.5,4.3,4.0,3.2
VAAMHE9URN,"Amherst County, VA",51009,2.1,3.7,5.5,5.0,4.6,4.1,3.3,3.5,4.1,7.8,8.1,7.3,6.7,6.1,5.4,4.8,4.4,4.2,3.3
MSAMIT5URN,"Amite County, MS",28005,5.3,5.2,6.7,8.5,6.6,8.2,6.0,6.3,7.0,10.6,11.9,11.5,10.0,9.1,8.0,7.6,7.3,6.6,5.9
AKANCH0URN,"Anchorage Muny, AK",02020,5.1,5.0,5.8,6.3,5.9,5.5,5.3,5.1,5.4,6.5,6.6,5.9,5.4,5.2,5.2,5.1,5.6,6.0,5.6
KSANDE3URN,"Anderson County, KS",20003,4.1,5.2,5.3,5.5,6.3,5.9,4.9,4.7,4.8,7.6,7.7,7.6,6.5,5.8,5.2,4.8,4.3,4.0,3.5
TXANDE1URN,"Anderson County, TX",48001,6.0,5.9,7.5,8.0,6.9,6.3,5.8,5.0,5.6,8.7,8.1,7.3,6.3,5.8,4.6,3.9,4.3,3.6,3.1
SCANDE7URN,"Anderson County, SC",45007,3.2,5.4,6.2,7.4,7.2,7.4,6.8,5.8,6.8,12.0,11.6,10.3,8.9,7.1,6.0,5.4,4.6,3.9,3.4
TNANDE5URN,"Anderson County, TN",47001,4.1,4.6,4.7,5.2,4.8,5.2,4.7,4.2,5.8,9.9,9.3,8.8,7.9,7.9,6.8,5.8,4.9,3.9,3.8
KYANURN,"Anderson County, KY",21005,3.4,5.0,4.9,4.6,4.3,4.8,5.2,5.0,6.4,10.4,9.6,8.3,6.9,6.5,5.2,4.2,4.1,4.2,3.7
MOANDR3URN,"Andrew County, MO",29003,3.2,4.4,4.9,5.0,5.2,5.2,4.1,4.0,4.8,7.7,8.3,6.9,5.4,5.3,5.2,4.2,3.7,3.1,2.7
TXANDR3URN,"Andrews County, TX",48003,4.9,4.2,5.5,5.5,4.7,4.0,3.5,3.2,3.3,7.0,6.2,5.0,4.0,3.8,3.0,3.5,4.7,3.1,2.5
MEANDR0URN,"Androscoggin County, ME",23001,3.4,4.0,4.4,5.0,4.5,5.0,4.6,4.6,5.5,8.4,8.6,8.1,7.7,6.7,5.4,4.2,3.6,3.1,3.1
TXANGE5URN,"Angelina County, TX",48005,4.8,5.4,6.6,6.6,6.4,5.5,4.6,4.4,4.7,8.2,8.5,7.9,6.9,6.5,5.2,5.6,5.9,5.1,4.5
MDANNE5URN,"Anne Arundel County, MD",24003,3.0,3.4,3.9,3.8,3.7,3.5,3.3,3.0,3.7,6.4,6.9,6.3,6.0,5.7,5.1,4.4,3.8,3.6,3.5
MNANOK5URN,"Anoka County, MN",27003,2.7,3.5,4.4,4.8,4.5,3.9,3.9,4.5,5.5,8.4,8.0,6.8,5.9,5.0,4.2,3.6,3.7,3.3,2.8
NCANSO7URN,"Anson County, NC",37007,5.2,8.4,9.2,9.5,8.5,7.4,7.5,7.3,8.8,14.8,14.1,12.3,10.9,9.5,7.1,6.5,5.8,5.3,4.5
NEANTE3URN,"Antelope County, NE",31003,2.8,3.1,3.1,3.3,3.3,3.4,2.9,2.9,3.0,3.7,3.6,3.6,3.3,3.2,2.7,2.6,2.6,2.5,2.5
MIANTR9URN,"Antrim County, MI",26009,4.7,6.6,7.3,8.6,8.0,7.8,8.1,8.1,9.4,15.3,16.0,13.3,11.6,11.5,9.6,7.5,7.1,6.7,5.8
AZAPAC0URN,"Apache County, AZ",04001,9.0,9.5,11.0,11.8,11.5,10.5,10.0,8.8,11.6,15.8,16.4,18.4,19.0,18.4,15.6,13.3,11.5,10.4,10.1
